iShares Russell 1000 ETF
Fund Holdings as of,"Mar 25, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"121,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BA","BOEING","Industrials","Equity","107,884,414.36","0.25","107,884,414.36","540,476.00","199.61","United States","NYSE","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","107,049,583.40","0.25","107,049,583.40","109,084.00","981.35","United States","NYSE","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","105,298,779.60","0.24","105,298,779.60","1,440,870.00","73.08","United States","NYSE","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","105,047,250.00","0.24","105,047,250.00","280,126.00","375.00","United States","NYSE","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","103,173,642.93","0.24","103,173,642.93","427,521.00","241.33","United States","NYSE","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","102,787,059.07","0.24","102,787,059.07","455,233.00","225.79","United States","NASDAQ","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","101,003,174.51","0.23","101,003,174.51","174,749.00","577.99","United States","NYSE","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","99,715,403.70","0.23","99,715,403.70","764,982.00","130.35","United States","NASDAQ","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","99,554,483.86","0.23","99,554,483.86","737,386.00","135.01","United States","NYSE","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","98,485,310.00","0.23","98,485,310.00","23,240.00","4,237.75","United States","NASDAQ","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","96,826,768.13","0.22","96,826,768.13","492,181.00","196.73","United States","NYSE","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","94,623,863.74","0.22","94,623,863.74","400,643.00","236.18","United States","NYSE","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","92,203,078.80","0.21","92,203,078.80","147,714.00","624.20","United States","NYSE","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","88,454,710.08","0.20","88,454,710.08","216,546.00","408.48","United States","NYSE","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","87,672,790.44","0.20","87,672,790.44","572,202.00","153.22","United States","NASDAQ","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","86,598,017.64","0.20","86,598,017.64","664,299.00","130.36","United States","NYSE","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","85,868,801.90","0.20","85,868,801.90","1,456,885.00","58.94","United States","NYSE","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","84,976,572.56","0.20","84,976,572.56","418,934.00","202.84","United States","NYSE","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","84,636,828.08","0.20","84,636,828.08","440,152.00","192.29","United States","NYSE","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","84,373,647.29","0.20","84,373,647.29","261,049.00","323.21","United States","NYSE","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","84,159,109.20","0.19","84,159,109.20","449,688.00","187.15","United States","NYSE","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","83,427,225.84","0.19","83,427,225.84","195,444.00","426.86","United States","NASDAQ","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","83,239,907.00","0.19","83,239,907.00","90,325.00","921.56","United States","NYSE","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","82,583,424.58","0.19","82,583,424.58","181,514.00","454.97","United States","NASDAQ","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","81,684,228.05","0.19","81,684,228.05","558,143.00","146.35","United States","NYSE","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","81,419,513.57","0.19","81,419,513.57","439,559.00","185.23","United States","NYSE","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","80,694,952.60","0.19","80,694,952.60","246,284.00","327.65","United States","NYSE","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","80,659,729.15","0.19","80,659,729.15","917,735.00","87.89","United States","NYSE","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","79,731,066.96","0.18","79,731,066.96","785,373.00","101.52","United States","NYSE","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","77,765,501.25","0.18","77,765,501.25","88,395.00","879.75","United States","NYSE","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","77,040,308.46","0.18","77,040,308.46","1,207,907.00","63.78","United States","NYSE","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","76,990,766.88","0.18","76,990,766.88","747,048.00","103.06","United States","NYSE","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","75,661,109.16","0.17","75,661,109.16","257,412.00","293.93","United States","NASDAQ","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","75,458,727.00","0.17","75,458,727.00","814,010.00","92.70","United States","NASDAQ","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","75,134,298.88","0.17","75,134,298.88","272,068.00","276.16","United States","NYSE","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","74,537,069.35","0.17","74,537,069.35","787,835.00","94.61","United States","NYSE","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","74,345,162.43","0.17","74,345,162.43","170,247.00","436.69","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","74,122,710.48","0.17","74,122,710.48","2,579,976.00","28.73","United States","NASDAQ","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","73,632,553.80","0.17","73,632,553.80","1,055,210.00","69.78","United States","NYSE","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","72,749,900.64","0.17","72,749,900.64","344,199.00","211.36","United States","NASDAQ","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","71,969,719.64","0.17","71,969,719.64","243,026.00","296.14","United States","NASDAQ","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","71,252,987.04","0.16","71,252,987.04","555,969.00","128.16","United States","NYSE","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","69,570,478.25","0.16","69,570,478.25","293,237.00","237.25","United States","NASDAQ","USD","1.00","USD","-"
"SNDK","SANDISK CORP","Information Technology","Equity","69,319,997.18","0.16","69,319,997.18","102,263.00","677.86","United States","NASDAQ","USD","1.00","USD","-"
